seed,parameter_name,shape,adamw_initial_hash,sgd_initial_hash,exact_match,seed_initialization_hash
43,encoder.layers.5.bias,"(32,)",cca73dcb3d61bb20e96e96017a1ca6e6f0e5c3320e080eff6b43b768fc039e6d,cca73dcb3d61bb20e96e96017a1ca6e6f0e5c3320e080eff6b43b768fc039e6d,True,
43,encoder.layers.5.weight,"(32,)",3d95cf105e53956d58061f6228f7fd4fecafdb9c07eedee6e43b4b57f1f591fe,3d95cf105e53956d58061f6228f7fd4fecafdb9c07eedee6e43b4b57f1f591fe,True,
43,encoder.layers.8.bias,"(64,)",9f747d307f53e7ffa311b06331f5fcfee25623bb0c370f5da3f8ed0b1abdc4c1,9f747d307f53e7ffa311b06331f5fcfee25623bb0c370f5da3f8ed0b1abdc4c1,True,
43,encoder.layers.8.weight,"(64, 32, 3, 3)",cdfbd230ef98f29f0bdad7e4170bf7b665d389e02dbab59c77383432aa505e99,cdfbd230ef98f29f0bdad7e4170bf7b665d389e02dbab59c77383432aa505e99,True,
43,encoder.layers.9.bias,"(64,)",780b4a90d7fa90d620f1355243a10704927de7f0e4b6237cd40a6b3c5015b462,780b4a90d7fa90d620f1355243a10704927de7f0e4b6237cd40a6b3c5015b462,True,
43,encoder.layers.9.weight,"(64,)",28218c86aaf057b554f13b26082640f8599184e0ef8c7dfff36d169cd8a3a348,28218c86aaf057b554f13b26082640f8599184e0ef8c7dfff36d169cd8a3a348,True,
43,lstm.bias_hh_l0,"(256,)",bf5f10e39ad64a695d53ed217b139a13fdb4403f2e2da8687003c2db1f58a894,bf5f10e39ad64a695d53ed217b139a13fdb4403f2e2da8687003c2db1f58a894,True,
43,lstm.bias_ih_l0,"(256,)",65c99832998f974e6742439d969cca25f3d2248aec7ac7c99dcb21f3f9f60ace,65c99832998f974e6742439d969cca25f3d2248aec7ac7c99dcb21f3f9f60ace,True,
43,lstm.weight_hh_l0,"(256, 64)",5d5877970fca4ac4cf33db28e3c2a21eabc31480310e608f0fc8145cae5b5ab3,5d5877970fca4ac4cf33db28e3c2a21eabc31480310e608f0fc8145cae5b5ab3,True,
43,lstm.weight_ih_l0,"(256, 64)",f8f89da60e479a49d66be13fee889e751c43242a5402f9ce29b6b4eb1c77d56c,f8f89da60e479a49d66be13fee889e751c43242a5402f9ce29b6b4eb1c77d56c,True,
43,__PAIR_SUMMARY__,,,,True,005d43c8630a681de44e1dd58f2fe7211fdcd3e55ac29399877e4438a512ee5c
44,classifier.0.bias,"(32,)",cecdcab62d6b46dd5edfc5aaf19859bce4024eb0e47921a78449e7e852969b7e,cecdcab62d6b46dd5edfc5aaf19859bce4024eb0e47921a78449e7e852969b7e,True,
44,classifier.0.weight,"(32, 64)",e9355474f565e751848f52aaf613c226a5e9e8ac4be6744946949e9dbc5506d6,e9355474f565e751848f52aaf613c226a5e9e8ac4be6744946949e9dbc5506d6,True,
