row_type,seed,optimizer,window_coverage,mean_abs_delta_val_loss,max_abs_delta_val_loss,mean_abs_delta_val_recall,max_abs_delta_val_recall,mean_abs_delta_val_f1,max_abs_delta_val_f1,predicted_drowsy_fraction_range,diagnostic_f1_drop_ge_0p20,diagnostic_recall_drop_ge_0p30,diagnostic_threshold_only,diagnostic_f1_drop_ge_0p20_total,diagnostic_recall_drop_ge_0p30_total,mean_abs_delta_val_loss_mean,mean_abs_delta_val_loss_std,mean_abs_delta_val_recall_mean,mean_abs_delta_val_recall_std,mean_abs_delta_val_f1_mean,mean_abs_delta_val_f1_std,max_abs_delta_val_loss_mean,max_abs_delta_val_loss_std,max_abs_delta_val_recall_mean,max_abs_delta_val_recall_std,max_abs_delta_val_f1_mean,max_abs_delta_val_f1_std,predicted_drowsy_fraction_range_mean,predicted_drowsy_fraction_range_std
seed,42,AdamW,FULL,0.011044038645056764,0.021941223144531175,0.11744505494505494,0.16575091575091572,0.03747455595889204,0.04267617571375126,0.2627906976744186,0.0,0.0,True,,,,,,,,,,,,,,,,
seed,42,SGD+Momentum,FULL,0.003921674725621271,0.011446555492489852,0.14652014652014658,0.30494505494505497,0.046024863083816425,0.08528804886101027,0.33302325581395353,0.0,1.0,True,,,,,,,,,,,,,,,,
seed,43,AdamW,FULL,0.01804736938587459,0.03870540480281037,0.10874542124542122,0.19413919413919412,0.02072934167681692,0.03556935650754156,0.27302325581395354,0.0,0.0,True,,,,,,,,,,,,,,,,
seed,43,SGD+Momentum,FULL,0.0016385604891666072,0.005070877906887983,0.09157509157509158,0.2216117216117216,0.029186170800335365,0.06831838776004595,0.2837209302325581,0.0,0.0,True,,,,,,,,,,,,,,,,
seed,44,AdamW,FULL,0.03927342150793517,0.11141324971997457,0.24404761904761907,0.5100732600732601,0.19352164418479198,0.6008787486871628,0.5790697674418606,1.0,1.0,True,,,,,,,,,,,,,,,,
seed,44,SGD+Momentum,FULL,0.01618913334469463,0.023071094280065485,0.11240842490842493,0.1758241758241758,0.11011991013867738,0.17830423788641528,0.3637209302325582,0.0,0.0,True,,,,,,,,,,,,,,,,
aggregate,mean_std,AdamW,FULL,,,,,,,,,,True,1.0,1.0,0.022788276512955508,0.014699716476702814,0.15674603174603174,0.07573041836448188,0.08390851394016698,0.0952962711330144,0.05735329255577204,0.04756173538796188,0.28998778998779,0.1911274030444598,0.22637476030281856,0.32434943302963126,0.37162790697674425,0.17972275987320396
aggregate,mean_std,SGD+Momentum,FULL,,,,,,,,,,True,0.0,1.0,0.007249789519827503,0.007825410766762854,0.11683455433455436,0.027738650507935943,0.06177698134094306,0.042704384587669085,0.013196175893147774,0.009126764269449533,0.2341269841269841,0.06546391527480329,0.1106368915024905,0.05921270703533101,0.32682170542635663,0.040358944738526435
