optimizer,metric,n,mean_abs_adjacent_delta_mean,mean_abs_adjacent_delta_std,max_abs_adjacent_delta_mean,max_abs_adjacent_delta_std,std_mean,std_std
AdamW,val_loss,3,0.029291848912524305,0.004080266507246569,0.12187786180843681,0.032707393002288206,0.05579297572083264,0.00029077950365512657
AdamW,val_recall,3,0.15767733011036586,0.02627675365197831,0.8806471306471307,0.15194935855945407,0.17417697425654674,0.02924177079512417
AdamW,val_f1,3,0.06854566617474124,0.026115177855773924,0.6594900488326704,0.020334624116439493,0.1358233133964963,0.028060430557837232
AdamW,predicted_drowsy_fraction,3,0.1573703605825699,0.021863645803197232,0.8337984496124031,0.19046743522076043,0.15822419743452878,0.015902480780923975
SGD+Momentum,val_loss,3,0.031186219263966298,0.008659049435626683,0.1469760192826737,0.044597459045047146,0.06227654935460856,0.007795192987428053
SGD+Momentum,val_recall,3,0.21823868551324854,0.042809920008107724,0.9542124542124543,0.0793063556579156,0.2311104640437569,0.05374118667104619
SGD+Momentum,val_f1,3,0.09664188118908845,0.03423950940302077,0.6041684781996884,0.1248329383663191,0.1677075137962004,0.07208201550082108
SGD+Momentum,predicted_drowsy_fraction,3,0.22674026482893836,0.03393806387652033,0.9672868217054263,0.0566608868832609,0.22536046250007905,0.019011831848985236
