sample_id,video_id,timestamp_sec,hog_bbox,yunet_bbox,bbox_iou,landmark_mean_difference,normalized_landmark_difference,ear_hog,ear_yunet,ear_abs_diff,mar_hog,mar_yunet,mar_abs_diff,pitch_hog,pitch_yunet,pitch_abs_diff,yaw_hog,yaw_yunet,yaw_abs_diff,roll_hog,roll_yunet,roll_abs_diff,yunet_ms
train_d_438_t1p0,d_438,1.0,"(290, 320, 558, 588)","(323, 283, 576, 609)",0.6896476205076543,7.834140511616653,0.02923186758065915,0.21607360312506463,0.31453948114848995,0.09846587802342532,0.04352147171277173,0.13348425707390454,0.08996278536113281,-171.43558651797,-170.66167456516638,0.7739119528036156,32.52132127930374,35.08134664260422,2.5600253633004755,9.4342220557006,12.525007546929084,3.090785491228484,54.215599986491725
train_n_908_t1p0,n_908,1.0,"(141, 290, 410, 559)","(202, 246, 426, 581)",0.611838292381546,6.561664971529182,0.02439280658561034,0.3043136973182988,0.3561669677405169,0.0518532704222181,0.1226144611408476,0.09562684399939969,0.026987617141447914,-171.12454482776732,-169.85105944753883,1.2734853802284931,32.803854542308464,33.89550850202082,1.0916539597123531,7.086164894704914,8.599275223540799,1.513110328835885,37.9086000029929
val_d_796_t1p0,d_796,1.0,"(204, 290, 590, 676)","(202, 264, 499, 669)",0.7099812034849755,6.4190829879776,0.016629748673517096,0.20277330418903833,0.2526565731744368,0.049883268985398466,0.05274570154347656,0.0644084608347501,0.011662759291273542,179.81772984853535,-177.62211107005808,357.4398409185934,-24.115152755813508,-26.30582533205563,2.1906725762421217,-7.463887210347212,-8.285248997314508,0.8213617869672953,43.95280001335777
train_d_438_t3p0,d_438,3.0,"(290, 320, 558, 588)","(328, 283, 591, 617)",0.6288127639605818,8.404083826915533,0.03135852174222214,0.2893441871648309,0.45009245173809564,0.16074826457326474,0.04001450213119569,0.08377558489114362,0.04376108275994793,-163.55265325902002,-159.28403292282837,4.2686203361916455,40.512428873417036,39.612587067051386,0.8998418063656501,14.068800712310955,17.554830701774126,3.486029989463171,37.47730000759475
train_n_908_t3p0,n_908,3.0,"(171, 290, 439, 559)","(202, 255, 445, 590)",0.710387323943662,4.2003380926358105,0.015643744415557322,0.3277708019007278,0.3978694647451505,0.07009866284442268,0.04077921595448145,0.01350242221424651,0.027276793740234943,-168.67967111047506,-169.73388300165854,1.0542118911834848,31.014323634601514,30.328167599095742,0.6861560355057712,11.55582078787606,10.917934897580356,0.6378858902957045,38.10110001359135
val_d_796_t3p0,d_796,3.0,"(204, 290, 590, 676)","(200, 257, 494, 672)",0.6913983997603386,9.219386111462478,0.023884419977882067,0.15877090962108492,0.2337673374346019,0.07499642781351698,0.022676685475084925,0.05071215320383701,0.028035467728752088,178.30900761506888,-177.48360667555934,355.7926142906282,-22.60000360720877,-33.614476343405784,11.014472736197014,-6.611340516617124,-9.18201928196345,2.570678765346326,37.75219997623935
train_d_438_t5p0,d_438,5.0,"(290, 320, 558, 588)","(332, 274, 590, 611)",0.6167695158958066,9.737682897901822,0.03633463767873814,0.31884701028276896,0.30960420210816314,0.009242808174605821,0.045216594355558304,0.1761446236647046,0.1309280293091463,-166.63421954889267,-161.82674406766463,4.807475481228039,38.71809766508924,39.4346744777397,0.7165768126504588,11.330051128109249,17.139063830690997,5.809012702581748,57.361100014531985
train_n_908_t5p0,n_908,5.0,"(141, 290, 410, 559)","(191, 240, 425, 599)",0.6044881792809063,4.64673213346772,0.01727409715043762,0.3167948290757959,0.3805064476561928,0.06371161858039687,0.013328595119490277,0.016750837608854617,0.0034222424893643397,-169.0645166953902,-169.74827536220747,0.6837586668172548,32.65317787715794,33.52141012958819,0.8682322524302535,8.232295445946011,8.03530779029439,0.1969876556516219,45.70729998522438
val_d_796_t5p0,d_796,5.0,"(241, 313, 563, 635)","(230, 270, 527, 679)",0.6920828166685454,6.8091276056088725,0.02114635902363004,0.3093182144813183,0.32389091729703157,0.014572702815713268,0.22416551483579322,0.21555915933364905,0.00860635550214417,-175.3560814960075,-175.1083202595956,0.24776123641191816,-31.049519595602224,-31.426714696283316,0.3771951006810923,-6.224231162915528,-7.246285311204248,1.0220541482887198,38.39469997910783
train_d_438_t7p0,d_438,7.0,"(290, 320, 558, 588)","(324, 286, 574, 608)",0.6998169887961434,8.423942924204466,0.031432622851509204,0.26502370520267954,0.4565958513807824,0.19157214617810286,0.03296027467093167,0.12061611717867875,0.08765584250774708,-169.03093266044644,-163.40930619492937,5.621626465517068,38.712167269218206,37.750711058058684,0.961456211159522,10.46436975294714,14.78669223844858,4.32232248550144,37.60999999940395
train_n_908_t7p0,n_908,7.0,"(171, 320, 439, 588)","(195, 246, 441, 604)",0.691978835978836,4.444491506311524,0.016583923531013147,0.35254692859099535,0.4047607941660021,0.052213865575006735,0.028654060329427803,0.0,0.028654060329427803,-168.00944931278767,-168.02581375477726,0.016364441989594525,31.958582620063055,33.38456673118357,1.4259841111205134,7.8991562030565845,8.679669620941688,0.7805134178851034,37.41600000648759
val_d_796_t7p0,d_796,7.0,"(241, 348, 563, 670)","(228, 273, 526, 680)",0.688963963963964,7.807919824228751,0.02424819821189053,0.30349371009240483,0.4271163263388539,0.12362261624644905,0.039248829037128175,0.04560458913158144,0.006355760094453267,-178.6737737638739,-176.340325986397,2.3334477774768914,-25.11118563375362,-25.824350519705597,0.7131648859519757,-5.653254084078908,-5.541293934184958,0.11196014989394953,37.32179998769425
